Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2014SM25	32
Total Nacional	34 Palencia	Dato base	2014SM24	46
Total Nacional	34 Palencia	Dato base	2014SM23	37
Total Nacional	34 Palencia	Dato base	2014SM22	31
Total Nacional	34 Palencia	Dato base	2014SM21	43
Total Nacional	34 Palencia	Dato base	2014SM20	38
Total Nacional	34 Palencia	Dato base	2014SM19	46
Total Nacional	34 Palencia	Dato base	2014SM18	40
Total Nacional	34 Palencia	Dato base	2014SM17	41
Total Nacional	34 Palencia	Dato base	2014SM16	42
Total Nacional	34 Palencia	Dato base	2014SM15	39
Total Nacional	34 Palencia	Dato base	2014SM14	46
Total Nacional	34 Palencia	Dato base	2014SM13	44
Total Nacional	34 Palencia	Dato base	2014SM12	42
Total Nacional	34 Palencia	Dato base	2014SM11	36
Total Nacional	34 Palencia	Dato base	2014SM10	33
Total Nacional	34 Palencia	Dato base	2014SM09	48
Total Nacional	34 Palencia	Dato base	2014SM08	45
Total Nacional	34 Palencia	Dato base	2014SM07	49
Total Nacional	34 Palencia	Dato base	2014SM06	47
Total Nacional	34 Palencia	Dato base	2014SM05	40
Total Nacional	34 Palencia	Dato base	2014SM04	47
